driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,Xin,Yin,Xout,Yout
-26.27100565,0,0,-20.5292842,-5.020284855,-20.54439761,4.979703724
-26.42049541,0,0,-20.64873184,-5.020466258,-20.6639186,4.97952221
-26.56998733,0,0,-20.76820694,-5.020647974,-20.78341647,4.97934046
-26.71948143,0,0,-20.8876543,-5.020830634,-20.9029464,4.979157673
-26.8689777,0,0,-21.00713866,-5.021013506,-21.02244371,4.978974782
-27.01847616,0,0,-21.12658585,-5.021197416,-21.14198254,4.978790732
-27.16797679,0,0,-21.2460794,-5.021381436,-21.26147938,4.978606706
-27.31747962,0,0,-21.36552652,-5.021566585,-21.38102701,4.978421402
-27.46698463,0,0,-21.48502609,-5.021751815,-21.50052658,4.978236171
-27.61649184,0,0,-21.60447975,-5.021938124,-21.62007646,4.978049713
-27.76600124,0,0,-21.72398063,-5.02212458,-21.73958352,4.977863247
-27.91551285,0,0,-21.84344419,-5.022311996,-21.85913229,4.977675698
-28.06502665,0,0,-21.9629449,-5.022499654,-21.97864832,4.977488017
-28.21454266,0,0,-22.08241821,-5.022688159,-22.09819618,4.977299394
-28.36406088,0,0,-22.20191895,-5.022876995,-22.21772101,4.97711052
-28.5135813,0,0,-22.32140179,-5.023066571,-22.33726817,4.976920842
-28.66310394,0,0,-22.44090273,-5.023256565,-22.45680166,4.976730796
-28.81262879,0,0,-22.56039455,-5.023447204,-22.5763487,4.976540069
-28.96215585,0,0,-22.67989556,-5.023638351,-22.69589099,4.976348856
-29.11168513,0,0,-22.79939607,-5.023830056,-22.81543822,4.976157076
-29.26121663,0,0,-22.91889691,-5.024022365,-22.93498956,4.975964686
-29.41075034,0,0,-23.03840618,-5.024215143,-23.05453693,4.975771847
-29.56028628,0,0,-23.15790678,-5.024408622,-23.1740974,4.975578271
-29.70982443,0,0,-23.27742489,-5.02460248,-23.29364484,4.975384366
-29.85936481,0,0,-23.39692522,-5.024797138,-23.41321448,4.975189595
-30.00890741,0,0,-23.51645232,-5.024992081,-23.53276184,4.974994619
-30.15845224,0,0,-23.63595271,-5.025187914,-23.65234035,4.974798658
-30.30799928,0,0,-23.75548881,-5.02538394,-23.77188762,4.974602614
-30.45754855,0,0,-23.87498958,-5.025580938,-23.89147467,4.974405474
-30.60710005,0,0,-23.9945346,-5.025778036,-24.01102194,4.974208372
-30.75665377,0,0,-24.11403587,-5.025976188,-24.13061742,4.974010064
-30.90620971,0,0,-24.23358648,-5.026174422,-24.25016802,4.973811831
-31.05576788,0,0,-24.3530948,-5.02637365,-24.36976537,4.973612455
-31.20532827,0,0,-24.47264663,-5.026573027,-24.48932368,4.973413067
-31.35489088,0,0,-24.59216409,-5.0267733,-24.60892082,4.973212661
-31.50445572,0,0,-24.71171609,-5.02697381,-24.72848788,4.973012125
-31.65402277,0,0,-24.83124255,-5.027175122,-24.84808494,4.972810695
-31.80359205,0,0,-24.95079478,-5.027376758,-24.96766069,4.972609019
-31.95316355,0,0,-25.07033019,-5.027579102,-25.08725773,4.972406571
-32.10273727,0,0,-25.1898827,-5.027781857,-25.20684211,4.972203762
-32.2523132,0,0,-25.30942698,-5.027985228,-25.32643919,4.972000301
-32.40189135,0,0,-25.42897983,-5.028189094,-25.44603214,4.971796367
-32.55147172,0,0,-25.54853288,-5.028393488,-25.56562934,4.971591898
-32.7010543,0,0,-25.66808607,-5.028598459,-25.68523085,4.971386843
-32.85063909,0,0,-25.78764783,-5.028803872,-25.80482824,4.97118137
-33.00022609,0,0,-25.90720137,-5.029009946,-25.92443829,4.970975199
-33.14981531,0,0,-26.02677179,-5.029216374,-26.0440359,4.970768724
-33.29940672,0,0,-26.14632571,-5.029423546,-26.16365444,4.97056144
-33.44900035,0,0,-26.26590475,-5.029630986,-26.28325229,4.970353967
-33.59859617,0,0,-26.3854591,-5.029839253,-26.40287927,4.970145574
-33.7481942,0,0,-26.50504678,-5.030047701,-26.52247734,4.969937108
-33.89779443,0,0,-26.62460196,-5.030257047,-26.64211233,4.969727622
-34.04739685,0,0,-26.74419815,-5.030466491,-26.76171072,4.969518175
-34.19700146,0,0,-26.86375458,-5.030676895,-26.88135329,4.969307619
-34.34660827,0,0,-26.98335628,-5.030887379,-27.00095499,4.969097135
-34.49621726,0,0,-27.10291977,-5.031098762,-27.12059929,4.968885609
-34.64582844,0,0,-27.22252304,-5.031310283,-27.24020822,4.968674079
-34.7954418,0,0,-27.34209558,-5.031522605,-27.35985227,4.96846163
-34.94505734,0,0,-27.46169948,-5.03173514,-27.47946935,4.968249072
-35.09467506,0,0,-27.58128044,-5.031948393,-27.59911375,4.968035706
-35.24429495,0,0,-27.70088497,-5.032161935,-27.71873895,4.967822127
-35.39391702,0,0,-27.820474,-5.032376119,-27.83838401,4.967607842
-35.54354125,0,0,-27.94007907,-5.032590671,-27.95801741,4.96739324
-35.69316764,0,0,-28.05967618,-5.03280579,-28.07766311,4.967178033
-35.84279619,0,0,-28.17928175,-5.033021355,-28.19730471,4.966962404
-35.9924269,0,0,-28.29888693,-5.033237411,-28.31695103,4.966746273
-36.14205977,0,0,-28.41849296,-5.033453993,-28.43660085,4.966529612
-36.29169478,0,0,-28.53810616,-5.033670992,-28.55624781,4.966312552
-36.44133194,0,0,-28.65771251,-5.033888597,-28.67590595,4.966094853
-36.59097124,0,0,-28.77733374,-5.034106545,-28.79555353,4.965876857
-36.74061268,0,0,-28.89694025,-5.034325184,-28.91522012,4.965658108
-36.89025626,0,0,-29.01656957,-5.03454409,-29.03486822,4.965439168
-37.03990196,0,0,-29.13617616,-5.034763774,-29.15454332,4.965219358
-37.18954979,0,0,-29.25581363,-5.034983647,-29.27419183,4.964999465
-37.33919975,0,0,-29.3754203,-5.035204383,-29.39387541,4.964778588
-37.48885182,0,0,-29.49506601,-5.035425227,-29.51352422,4.964557737
-37.638506,0,0,-29.61467397,-5.035646994,-29.63321504,4.964335817
-37.78816229,0,0,-29.73432548,-5.035868841,-29.75286656,4.96411397
-37.93782069,0,0,-29.85394021,-5.036091551,-29.8725591,4.963891116
