driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,D1,D2
-300.2499642,-100.7674348,-0.039999246,5.00099327,5.00099327
-300.258202,-100.8667616,-0.040000689,5.000993243,5.000993243
-300.2664396,-100.9660872,-0.040002131,5.00103131,5.00103131
-300.2754953,-101.0672413,-0.040001819,5.000993221,5.000993221
-300.2847258,-101.1664784,-0.040000587,5.001031357,5.001031357
-300.2943072,-101.2675864,-0.039999384,5.000993194,5.000993194
-300.3045295,-101.3667248,-0.039998455,5.000993172,5.000993172
-300.3147517,-101.4658622,-0.039997526,5.001031388,5.001031388
-300.3258498,-101.5668165,-0.039997676,5.000993157,5.000993157
-300.3370628,-101.6658459,-0.039998342,5.001031436,5.001031436
-300.3486855,-101.7667435,-0.039999165,5.000993137,5.000993137
-300.3608881,-101.8656548,-0.040000558,5.000993119,5.000993119
-300.3730907,-101.9645653,-0.040001952,5.001031476,5.001031476
-300.3862268,-102.0652791,-0.040001526,5.000993112,5.000993112
-300.3994179,-102.1640622,-0.040000313,5.001031517,5.001031517
-300.4130776,-102.2647084,-0.039999148,5.000993099,5.000993099
-300.4272558,-102.363354,-0.039998259,5.000993086,5.000993086
-300.4414339,-102.4619989,-0.039997371,5.001031558,5.001031558
-300.4566029,-102.5624308,-0.039997628,5.000993086,5.000993086
-300.4717668,-102.660929,-0.039998334,5.001031603,5.001031603
-300.4874579,-102.7612828,-0.039999227,5.00099308,5.00099308
-300.5036059,-102.8596242,-0.040000655,5.00099307,5.00099307
-300.5197539,-102.9579651,-0.040002083,5.001031656,5.001031656
-300.53695,-103.0580746,-0.040001562,5.000993076,5.000993076
-300.5540807,-103.1562494,-0.040000356,5.001031695,5.001031695
-300.5717972,-103.2562701,-0.039999209,5.000993076,5.000993076
-300.5899089,-103.3542686,-0.039998319,5.00099307,5.00099307
-300.6080206,-103.4522668,-0.03999743,5.001031748,5.001031748
-300.6272368,-103.5520129,-0.039997753,5.000993081,5.000993081
-300.6463276,-103.6498257,-0.039998458,5.001031792,5.001031792
-300.6660626,-103.7494726,-0.039999379,5.000993086,5.000993086
-300.6861307,-103.8470898,-0.040000802,5.000993082,5.000993082
-300.7061987,-103.9447068,-0.040002225,5.001031856,5.001031856
-300.7274278,-104.0440494,-0.040001575,5.000993098,5.000993098
-300.7484713,-104.1414616,-0.040000347,5.001031893,5.001031893
-300.770217,-104.2406943,-0.03999919,5.000993107,5.000993107
-300.7922338,-104.3378916,-0.039998273,5.000993105,5.000993105
-300.8142505,-104.4350889,-0.039997356,5.001031957,5.001031957
-300.8374839,-104.533987,-0.039997719,5.000993126,5.000993126
-300.8604717,-104.6309602,-0.039998398,5.001031998,5.001031998
-300.8842197,-104.7297382,-0.039999325,5.00099314,5.00099314
-300.9081762,-104.8264773,-0.04000073,5.00099314,5.00099314
-300.9321328,-104.9232165,-0.040002135,5.001032073,5.001032073
