Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle.Side_Slip_Angle,Gyro.gyro_X,Gyro.gyro_Y,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
4.72E-05,9.955547788,-5.07E-06,-5.78E-06,4.69E-06,12.56512782,2.31E-05,-10.75443479,0,0,-8.81E-06,7.09591E-05
4.72E-05,9.955797307,-5.07E-06,-5.77E-06,4.69E-06,12.66468454,2.30E-05,-10.85398907,0,0,-8.69E-06,7.11272E-05
4.73E-05,9.956045947,-5.07E-06,-5.77E-06,4.70E-06,12.76424376,2.29E-05,-10.95354585,0,0,-8.58E-06,7.12891E-05
4.73E-05,9.956293718,-5.06E-06,-5.77E-06,4.70E-06,12.86380546,2.28E-05,-11.05310513,0,0,-8.47E-06,7.14447E-05
4.74E-05,9.956540972,-5.06E-06,-5.77E-06,4.71E-06,12.96336963,2.27E-05,-11.1526669,0,0,-8.36E-06,7.15938E-05
4.74E-05,9.956788047,-5.06E-06,-5.76E-06,4.71E-06,13.06293628,2.26E-05,-11.25223115,0,0,-8.25E-06,7.17373E-05
4.75E-05,9.957034966,-5.06E-06,-5.76E-06,4.72E-06,13.16250539,2.25E-05,-11.35179788,0,0,-8.14E-06,7.18752E-05
4.75E-05,9.957281442,-5.06E-06,-5.75E-06,4.72E-06,13.26207698,2.24E-05,-11.4513671,0,0,-8.03E-06,7.20075E-05
4.76E-05,9.95752716,-5.06E-06,-5.75E-06,4.73E-06,13.36165102,2.23E-05,-11.55093879,0,0,-7.92E-06,7.21342E-05
4.76E-05,9.957772043,-5.06E-06,-5.74E-06,4.73E-06,13.46122752,2.22E-05,-11.65051295,0,0,-7.81E-06,7.22546E-05
4.77E-05,9.958016288,-5.06E-06,-5.74E-06,4.73E-06,13.56080646,2.21E-05,-11.75008958,0,0,-7.70E-06,7.23694E-05
4.77E-05,9.958260153,-5.06E-06,-5.74E-06,4.74E-06,13.66038784,2.20E-05,-11.84966866,0,0,-7.60E-06,7.24786E-05
