Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
-0.04315137,15.00922862,-0.005866386,0.122065863,-363.8862163,-196.9428917,-0.005066151,-0.00857989,-0.305812439,10.00208318
-0.043025162,15.00925888,-0.005848768,0.121326025,-364.0350805,-196.9620617,-0.005051182,-0.008564381,-0.304766191,10.00065732
-0.042898699,15.00928878,-0.005831147,0.120588438,-364.1839541,-196.9810759,-0.005036221,-0.008590903,-0.303961553,9.999235596
-0.042772153,15.00931831,-0.005813529,0.119853104,-364.332836,-197.0000274,-0.00502126,-0.008567167,-0.302886319,9.997817556
-0.042645635,15.00934748,-0.005795909,0.119120022,-364.4817489,-197.0188226,-0.00500629,-0.00858931,-0.302042073,9.996403939
-0.042518943,15.00937627,-0.005778289,0.118389193,-364.6306629,-197.0375251,-0.004991292,-0.008590784,-0.301102818,9.994994124
-0.042392626,15.0094047,-0.005760672,0.117660616,-364.7795998,-197.0561342,-0.004976263,-0.008575324,-0.300055932,9.993588588
-0.042266049,15.00943277,-0.005743053,0.116934289,-364.9285453,-197.0745893,-0.004961225,-0.008601799,-0.299250184,9.992187272
-0.042139383,15.00946047,-0.005725436,0.116210214,-365.0774988,-197.0929826,-0.004946184,-0.008578768,-0.298178586,9.990789733
-0.042012755,15.00948782,-0.005707817,0.115488391,-365.2264821,-197.1112223,-0.004931144,-0.008600412,-0.297330183,9.989396691
-0.041885957,15.0095148,-0.005690197,0.11476882,-365.3754663,-197.1293702,-0.004916107,-0.008602218,-0.296392153,9.98800755
-0.041759524,15.00954142,-0.00567258,0.1140515,-365.5244725,-197.1474266,-0.00490107,-0.008586822,-0.295344685,9.986622755
-0.041632831,15.00956769,-0.005654961,0.113336431,-365.6734868,-197.1653307,-0.004886036,-0.008613252,-0.294537776,9.985242258
-0.041506043,15.00959359,-0.005637343,0.112623613,-365.8225086,-197.1831739,-0.004871003,-0.008590925,-0.293469769,9.983865623
-0.041379303,15.00961914,-0.005619724,0.111913047,-365.9715592,-197.2008664,-0.004855972,-0.008612069,-0.2926173,9.982493553
-0.041252403,15.00964433,-0.005602104,0.111204732,-366.1206104,-197.2184678,-0.004840943,-0.008614201,-0.29168047,9.981125475
-0.041125858,15.00966916,-0.005584487,0.110498669,-366.2696829,-197.2359796,-0.004825915,-0.008598868,-0.290632527,9.979761805
-0.040999053,15.00969365,-0.005566867,0.109794855,-366.4187627,-197.2533408,-0.004810891,-0.008625245,-0.289824449,9.978402505
-0.040872149,15.00971778,-0.005549249,0.109093293,-366.5678499,-197.2706422,-0.004795868,-0.008603615,-0.288760029,9.977047146
-0.040745307,15.00974156,-0.005531629,0.108393981,-366.7169647,-197.2877954,-0.004780847,-0.00862426,-0.287903623,9.975696414
-0.040618313,15.00976498,-0.005514008,0.107696922,-366.8660798,-197.3048586,-0.00476583,-0.008626711,-0.286968002,9.974349758
-0.040491665,15.00978805,-0.00549639,0.107002113,-367.0152155,-197.3218339,-0.004750812,-0.008611444,-0.28591972,9.973007567
-0.04036476,15.00981079,-0.00547877,0.106309554,-367.164358,-197.3386604,-0.0047358,-0.008637763,-0.285110493,9.971669811
-0.040237754,15.00983317,-0.005461151,0.105619246,-367.3135074,-197.355428,-0.004720789,-0.008616824,-0.284049675,9.97033607
-0.040110822,15.0098552,-0.005443531,0.104931189,-367.4626835,-197.3720502,-0.00470578,-0.008636975,-0.283189457,9.969007013
-0.039983748,15.00987689,-0.005425909,0.104245383,-367.6118595,-197.3885832,-0.004690774,-0.008639741,-0.282255031,9.967682111
-0.039857014,15.00989823,-0.005408292,0.103561828,-367.7610555,-197.4050302,-0.00467577,-0.008624547,-0.281206498,9.966361724
-0.039730024,15.00991923,-0.005390671,0.102880521,-367.9102577,-197.4213302,-0.00466077,-0.008650807,-0.280396046,9.965045834
-0.039602929,15.00993989,-0.005373052,0.102201467,-368.0594664,-197.4375722,-0.004645772,-0.008630557,-0.279338732,9.963734027
-0.039475921,15.00996021,-0.005355432,0.101524662,-368.2087009,-197.4536715,-0.004630778,-0.008650224,-0.278474695,9.962426953
-0.039348778,15.00998018,-0.005337811,0.100850108,-368.3579351,-197.4696826,-0.004615786,-0.008653308,-0.27754132,9.961124107
-0.039221962,15.00999981,-0.005320194,0.100177804,-368.5071885,-197.4856095,-0.004600796,-0.008638198,-0.276492504,9.959825819
-0.039094891,15.01001912,-0.005302573,0.099507749,-368.6564475,-197.5013912,-0.004585811,-0.008664402,-0.275680666,9.958532082
-0.038967708,15.01003808,-0.005284954,0.098839945,-368.8057128,-197.5171157,-0.004570828,-0.008644847,-0.274626693,9.957242489
-0.038840621,15.01005671,-0.005267334,0.098174391,-368.9550029,-197.5327003,-0.004555848,-0.008664047,-0.273758812,9.955957672
-0.038713401,15.01007501,-0.005249713,0.097511087,-369.1042923,-197.5481976,-0.004540872,-0.008667455,-0.272826331,9.954677146
-0.038586496,15.01009296,-0.005232096,0.096850033,-369.2536004,-197.5636125,-0.004525898,-0.008652448,-0.271777217,9.953401219
-0.038459334,15.0101106,-0.005214475,0.096191228,-369.4029135,-197.5788841,-0.00451092,-0.008678608,-0.270963854,9.952129886
-0.038332054,15.01012789,-0.005196856,0.095534673,-369.5522326,-197.5940994,-0.004495932,-0.008659758,-0.269913087,9.950862754
-0.038204876,15.01014486,-0.005179234,0.094880367,-369.7015755,-197.6091775,-0.004480909,-0.008678515,-0.269041372,9.949600434
-0.038077571,15.0101615,-0.005161612,0.094228312,-369.8509176,-197.6241692,-0.004465882,-0.008682257,-0.26810967,9.948342463
-0.037950569,15.01017781,-0.005143994,0.093578507,-370.0002777,-197.6390804,-0.004450848,-0.008667375,-0.267060288,9.947089122
-0.037823309,15.0101938,-0.005126371,0.092930949,-370.1496423,-197.65385,-0.004435817,-0.008693495,-0.266245303,9.945840418
-0.037695925,15.01020946,-0.00510875,0.092285642,-370.2990125,-197.6685643,-0.004420787,-0.008675352,-0.26519765,9.944595964
-0.037568653,15.0102248,-0.005091127,0.091642585,-370.4484057,-197.6831442,-0.004405757,-0.008693669,-0.26432216,9.943356354
-0.037441259,15.01023982,-0.005073503,0.091001778,-370.5977978,-197.6976385,-0.004390728,-0.008697737,-0.263391163,9.942121143
-0.037314111,15.01025451,-0.00505589,0.09036322,-370.7472073,-197.7120541,-0.0043757,-0.008682976,-0.262341586,9.940890593
-0.03718673,15.01026889,-0.005038287,0.08972691,-370.8966207,-197.7263301,-0.004360675,-0.008709036,-0.261524938,9.939664719
-0.037059207,15.01028295,-0.005020689,0.089092851,-371.0460396,-197.7405516,-0.00434565,-0.008691576,-0.260480311,9.938443148
-0.036931773,15.01029669,-0.005003098,0.088461041,-371.1954805,-197.7546414,-0.004330626,-0.008709442,-0.259601081,9.937226448
-0.036804186,15.01031012,-0.004985516,0.087831481,-371.3449201,-197.7686467,-0.004315605,-0.008713809,-0.258670665,9.936014189
-0.036676841,15.01032322,-0.004967949,0.08720417,-371.4943764,-197.782575,-0.004300583,-0.008699155,-0.257620893,9.934806604
-0.036549199,15.01033602,-0.00495039,0.086579107,-371.6438363,-197.7963656,-0.004285565,-0.008725132,-0.256802407,9.933603723
-0.036421393,15.0103485,-0.004932839,0.085956295,-371.7933012,-197.8101026,-0.004270548,-0.008708338,-0.255760737,9.932405186
-0.036293689,15.01036068,-0.004915293,0.085335732,-371.9427874,-197.8237106,-0.004255532,-0.008725748,-0.254877902,9.93121155
-0.036165862,15.01037254,-0.004897749,0.084717419,-372.092272,-197.837235,-0.004240518,-0.008730401,-0.253948127,9.930022401
-0.036038304,15.01038409,-0.004880207,0.084101356,-372.2417729,-197.8506843,-0.004225505,-0.00871586,-0.252898414,9.928837944
-0.035910499,15.01039535,-0.00486266,0.083487541,-372.3912767,-197.8639977,-0.004210496,-0.008741749,-0.252078259,9.927658209
-0.035782579,15.01040629,-0.004845107,0.082875977,-372.5407854,-197.8772585,-0.004195487,-0.008725616,-0.251039688,9.926482849
-0.035654826,15.01041692,-0.004827547,0.082266663,-372.6903145,-197.890393,-0.00418048,-0.008742586,-0.25015351,9.925312413
-0.035527008,15.01042725,-0.004809979,0.081659599,-372.8398418,-197.9034449,-0.004165476,-0.008747526,-0.249224488,9.924146515
-0.035399495,15.01043728,-0.004792407,0.081054785,-372.9893847,-197.9164234,-0.004150473,-0.008733112,-0.248175065,9.92298534
-0.035271777,15.01044702,-0.004774825,0.080452219,-373.1389302,-197.9292679,-0.004135473,-0.008758911,-0.247353308,9.92182891
-0.035143969,15.01045644,-0.004757237,0.079851905,-373.2884803,-197.9420608,-0.004120475,-0.008743432,-0.246317869,9.920676877
-0.035016354,15.01046558,-0.004739643,0.07925384,-373.43805,-197.95473,-0.004105478,-0.008759968,-0.245428473,9.919529772
-0.034888685,15.01047441,-0.004722044,0.078658026,-373.5876177,-197.9673176,-0.004090485,-0.008765181,-0.244500135,9.918387238
-0.034761306,15.01048294,-0.004704446,0.078064462,-373.7372005,-197.9798336,-0.004075492,-0.008750892,-0.243451026,9.917249453
-0.034633711,15.01049119,-0.004686842,0.077473146,-373.8867855,-197.9922176,-0.004060504,-0.008776582,-0.242627505,9.916116443
-0.034506006,15.01049914,-0.004669237,0.076884082,-374.0363747,-198.0045508,-0.004045517,-0.008761739,-0.241594999,9.914987861
-0.034378478,15.0105068,-0.004651632,0.076297267,-374.1859828,-198.016763,-0.004030532,-0.008777835,-0.240702302,9.913864206
-0.034250876,15.01051416,-0.004634025,0.075712703,-374.3355887,-198.0288947,-0.004015546,-0.008783304,-0.239774396,9.912745138
-0.034123526,15.01052124,-0.004616423,0.075130388,-374.4852092,-198.0409565,-0.004000557,-0.00876914,-0.238725472,9.911630821
-0.033995935,15.01052803,-0.004598817,0.074550321,-374.6348314,-198.0528881,-0.003985542,-0.008794709,-0.2378999,9.910521296
-0.033868206,15.01053453,-0.004581213,0.073972505,-374.7844577,-198.0647699,-0.003970523,-0.008780491,-0.236870036,9.909416231
-0.033740637,15.01054075,-0.004563608,0.073396938,-374.9341021,-198.0765335,-0.003955497,-0.008796155,-0.235973902,9.908316101
-0.03361298,15.01054669,-0.004546003,0.072823621,-375.0837441,-198.0882175,-0.003940472,-0.008801872,-0.235046161,9.907220572
-0.033485546,15.01055233,-0.0045284,0.072252552,-375.2334001,-198.0998333,-0.003925446,-0.008787841,-0.233997318,9.906129787
-0.033357858,15.01055771,-0.004510794,0.071683731,-375.3830575,-198.111321,-0.003910423,-0.008813278,-0.233169468,9.905043796
-0.033230019,15.0105628,-0.004493188,0.07111716,-375.5327187,-198.1227598,-0.0038954,-0.008799674,-0.232142035,9.903962285
-0.033102337,15.01056761,-0.004475581,0.070552839,-375.6823973,-198.134083,-0.003880377,-0.008814906,-0.231242424,9.902885714
-0.032974563,15.01057214,-0.004457972,0.069990766,-375.8320734,-198.1453276,-0.003865355,-0.008820856,-0.230314683,9.901813766
-0.032846998,15.0105764,-0.004440365,0.069430941,-375.981763,-198.1565059,-0.003850334,-0.008806955,-0.22926593,9.900746561
-0.032719178,15.01058039,-0.004422755,0.068873365,-376.1314535,-198.1675579,-0.003835314,-0.008832243,-0.228435686,9.899684147
-0.032591202,15.01058409,-0.004405143,0.068318038,-376.2811477,-198.178562,-0.003820295,-0.008819234,-0.227410586,9.898626222
-0.032463388,15.01058753,-0.004387531,0.06776496,-376.4308586,-198.1894531,-0.003805277,-0.008834034,-0.226507565,9.897573234
-0.032335486,15.0105907,-0.004369918,0.067214131,-376.5805667,-198.2002668,-0.00379026,-0.008840197,-0.225579762,9.896524887
-0.032207781,15.01059359,-0.004352306,0.066665551,-376.7302879,-198.2110157,-0.003775243,-0.008826425,-0.224531194,9.895481285
-0.032079825,15.01059623,-0.004334692,0.066119218,-376.8800097,-198.2216405,-0.003760229,-0.008851544,-0.223698522,9.894442475
-0.031951711,15.01059859,-0.004317077,0.065575136,-377.0297348,-198.2322182,-0.003745215,-0.008839111,-0.222675733,9.893408164
-0.031823765,15.01060069,-0.004299462,0.065033302,-377.179476,-198.2426856,-0.003730202,-0.008853474,-0.221769433,9.892378778
-0.031695739,15.01060253,-0.004281846,0.064493718,-377.3292143,-198.2530766,-0.003715192,-0.00885983,-0.22084156,9.891354042
-0.031567902,15.01060409,-0.004264233,0.063956382,-377.4789653,-198.2634046,-0.003700181,-0.008846185,-0.219793316,9.890334049
-0.031439822,15.01060541,-0.004246617,0.063421295,-377.6287164,-198.2736104,-0.003685173,-0.008871114,-0.218958204,9.889318852
-0.031311587,15.01060646,-0.004229001,0.062888458,-377.7784707,-198.2837701,-0.003670166,-0.008859236,-0.217937706,9.888308163
-0.031183529,15.01060725,-0.004211385,0.062357871,-377.9282405,-198.2938221,-0.00365516,-0.008873162,-0.217028237,9.88730239
-0.0310554,15.01060778,-0.004193768,0.061829533,-378.0780071,-198.3037988,-0.003640156,-0.008879692,-0.21610025,9.886301271
-0.030927456,15.01060806,-0.004176155,0.061303444,-378.227786,-198.3137142,-0.003625152,-0.008866172,-0.21505242,9.885304889
-0.030799277,15.01060808,-0.004158539,0.060779604,-378.3775647,-198.3235094,-0.003610151,-0.008890895,-0.214214804,9.884313298
-0.030670947,15.01060785,-0.004140922,0.060258014,-378.5273464,-198.3332595,-0.003595152,-0.008879556,-0.213196526,9.883326225
-0.030542802,15.01060737,-0.004123306,0.059738674,-378.6771429,-198.3429044,-0.003580153,-0.008893046,-0.212283958,9.882344059
-0.030414592,15.01060664,-0.004105689,0.059221583,-378.8269361,-198.3524752,-0.003565157,-0.008899735,-0.211355779,9.881366549
-0.030286563,15.01060565,-0.004088075,0.058706742,-378.9767412,-198.3619863,-0.003550161,-0.008886345,-0.210308429,9.880393765
-0.030158305,15.01060442,-0.004070459,0.05819415,-379.1265457,-198.3713793,-0.003535169,-0.008910848,-0.209468228,9.879425764
-0.030029899,15.01060294,-0.004052842,0.057683808,-379.2763531,-198.3807281,-0.003520176,-0.008900035,-0.208452086,9.878462285
-0.029901684,15.01060122,-0.004035225,0.057175717,-379.4261747,-198.3899744,-0.003505181,-0.008913097,-0.20753648,9.877503699
-0.02977341,15.01059925,-0.004017607,0.056669875,-379.5759929,-198.3991475,-0.003490175,-0.008919934,-0.206608023,9.876549771
-0.02964531,15.01059704,-0.003999992,0.056166283,-379.7258224,-198.4082628,-0.003475159,-0.008906682,-0.205561212,9.875600558
-0.029516988,15.01059459,-0.003982374,0.055664939,-379.8756512,-198.4172619,-0.00346014,-0.008930956,-0.204718338,9.874656117
-0.029388518,15.01059189,-0.003964756,0.055165847,-380.0254826,-198.4262177,-0.00344512,-0.008920658,-0.20370424,9.873716197
-0.029260243,15.01058896,-0.003947138,0.054669005,-380.1753276,-198.4350736,-0.0034301,-0.008933297,-0.202785652,9.872781153
-0.029131914,15.01058579,-0.003929519,0.054174413,-380.3251692,-198.4438576,-0.003415081,-0.008940268,-0.201856825,9.871850764
-0.02900375,15.01058238,-0.003911903,0.05368207,-380.4750216,-198.4525853,-0.003400061,-0.008927154,-0.200810607,9.870925078
-0.028875368,15.01057875,-0.003894284,0.053191976,-380.6248731,-198.461199,-0.003385043,-0.008951178,-0.199964968,9.870004151
-0.02874684,15.01057487,-0.003876664,0.052704133,-380.7747269,-198.4697703,-0.003370025,-0.008941375,-0.198952822,9.869087743
-0.028618508,15.01057076,-0.003859044,0.052218541,-380.9245938,-198.4782442,-0.003355007,-0.008953587,-0.198031306,9.86817619
